GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS394220487	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			6				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	10:11:00	obsr171564	S29148290	Traveling	P22	EBIRD	105	1.448		2	1	G1709328	0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS394202497	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	10:08:00	obsr22614	S29147260	Traveling	P22	EBIRD	270	1.609		3	1	G1709251	0	1	0		<br />Submitted from eBird Android 1.0.3-beta6		
URN:CornellLabOfOrnithology:EBIRD:OBS394141876	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			3				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-22	19:05:00	obsr333742	S29143705	Traveling	P22	EBIRD	35	0.483		2	1	G1708999	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS394262875	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			35				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	09:17:00	obsr176649	S29150876	Traveling	P22	EBIRD	229	2.012		2	1		0	1	0		<br />Submitted from eBird Android 1.0.4		
URN:CornellLabOfOrnithology:EBIRD:OBS395016773	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-24	15:54:00	obsr513175	S29197951	Traveling	P22	EBIRD	75	1.609		6	1	G1714937	0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS394332832	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-23	14:36:00	obsr60228	S29155123	Traveling	P22	EBIRD	147	3.219		1	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS394772754	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-24	15:54:00	obsr91229	S29182902	Traveling	P22	EBIRD	75	1.609		6	1	G1714937	0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS396085408	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			3				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-28	07:21:00	obsr7509	S29268246	Traveling	P22	EBIRD	293	1.931		3	1	G1721510	1	1	0		Clear, 4-7 mph NW wind, 53*F at start; Tom Edell, Maggie Smith, Herb Elliott. We parked outside the main parking lot and walked the trail past the bathroom and along the dike west of the railroad tracks to the far end of the first ponds and then a short distance to the right to the left bend. After retracing or path we walked around the marsh west of the original trail and over the bridge leading back to the parking lot.  After eating and shedding some clothes we joined Jim Lomax and John Luther who ha just arrived and walked back to the furthest point reached earlier. Our goal was to locate the Little Stint that was present here for several days, but last reported on 4/26. Submitted from eBird Android 1.0.2-beta4		
URN:CornellLabOfOrnithology:EBIRD:OBS396164085	2018-11-27 11:45:55.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			2				United States	US	California	US-CA	Santa Clara	US-CA-085		32			Alviso Marina County Park (please use a specific pond hotspot where possible)	L296043	H	37.4298703	-121.9793612	2016-04-28	14:15:00	obsr15709	S29273564	Traveling	P22	EBIRD	195	1.287		3	1		0	1	0		Also Sid England and Randy Beaton <br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS395754053	2018-08-03 08:04:01.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			3			Female, Adult (2); Female, Unknown Age (1)	United States	US	California	US-CA	Santa Clara	US-CA-085	US-CA_154	32	USFWS_608		Salt Pond A12	L776555	H	37.4337723	-121.9832611	2016-04-24	14:30:00	obsr313539	S29246741	Traveling	P22	EBIRD	213	0.966		1	1		0	1	0		Heavy winds that day, wind lines on the pond. Gusting to B6 <br />Submitted from eBird for iOS, version 1.1.5 Build 44	F3	
URN:CornellLabOfOrnithology:EBIRD:OBS396855957	2016-05-02 23:26:24.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			1				United States	US	California	US-CA	Santa Clara	US-CA-085	US-CA_154	32	USFWS_608		US-CA-San Jose-Don Edwards San Francisco Bay National Wildlife Refuge - 37.4391x-121.9784	L4550307	P	37.439055	-121.978406	2016-04-30	14:45:00	obsr114446	S29316456	Traveling	P22	EBIRD	176	8		1	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.5 Build 44		
URN:CornellLabOfOrnithology:EBIRD:OBS394043592	2018-11-27 11:56:52.0	5925	species	Red-necked Phalarope	Phalaropus lobatus			10				United States	US	California	US-CA	Santa Clara	US-CA-085	US-CA_154	32	USFWS_608		Salt Pond A12	L776555	H	37.4337723	-121.9832611	2016-04-22	12:20:00	obsr293948	S29133433	Traveling	P22	EBIRD	60	0.805		4	1		1	1	0		Kevin Gin, Mike Rogers, and Richard Jeffers were also present to observe the probable Little Stint. <br />Submitted from eBird for iOS, version 1.1.5 Build 44		
